Entity.Name,Count of No,Min of No2,Code,Council,my.pos,my.pos2,my.pos3
Atlantic mackerel - Gulf of Maine / Cape Hatteras,4,1,Mackerel,MAFMC,4,4,4
Butterfish - Gulf of Maine / Cape Hatteras,4,5,Butterfish,MAFMC,4,1,1
Longfin inshore squid - Georges Bank / Cape Hatteras,3,9,Longfin,MAFMC,4,4,4
Northern shortfin squid - Northwestern Atlantic Coast,3,12,Illex,MAFMC,4,4,4
Atlantic surfclam - Mid-Atlantic Coast,6,15,Surfclam,MAFMC,4,2,2
Ocean quahog - Atlantic Coast,5,21,Quahog,MAFMC,4,4,4
Bluefish - Atlantic Coast,10,26,Bluefish,MAFMC,3,2,4
Black sea bass - Mid-Atlantic Coast,9,36,Bl Sea Bass,MAFMC,1,3,4
Scup - Atlantic Coast,9,45,Scup,MAFMC,4,1,4
Summer flounder - Mid-Atlantic Coast,12,54,Fluke,MAFMC,4,3,4
Tilefish - Mid-Atlantic Coast,5,66,G Tilefish,MAFMC,4,3,1
Atlantic herring - Northwestern Atlantic Coast,6,71,Herring,NEFMC,1,1,3
Sea scallop - Northwestern Atlantic Coast,4,77,Scallop,NEFMC,4,3,4
Red deepsea crab - Northwestern Atlantic,1,81,Red Crab,NEFMC,4,4,4
Acadian redfish - Gulf of Maine / Georges Bank,6,82,Redfish,NEFMC,4,1,1
American plaice - Gulf of Maine / Georges Bank,6,88,Plaice,NEFMC,3,3,3
Atlantic cod - Georges Bank,7,94,GB Cod,NEFMC,4,4,4
Atlantic cod - Gulf of Maine,7,101,GOM Cod,NEFMC,1,1,3
Atlantic halibut - Northwestern Atlantic Coast,5,108,Halibut,NEFMC,3,3,3
Haddock - Georges Bank,6,113,GB Haddock,NEFMC,4,4,1
Haddock - Gulf of Maine,7,119,GOM Haddock,NEFMC,2,4,2
Ocean pout - Northwestern Atlantic Coast,6,126,Pout,NEFMC,4,4,3
Offshore hake - Northwestern Atlantic Coast,2,132,Offshore Hake,NEFMC,4,4,4
Pollock - Gulf of Maine / Georges Bank,6,134,Pollock,NEFMC,1,4,4
Red hake - Gulf of Maine / Northern Georges Bank,3,140,N Red Hake,NEFMC,3,4,2
Red hake - Southern Georges Bank / Mid-Atlantic,3,143,S Red Hake,NEFMC,3,1,4
Silver hake - Gulf of Maine / Northern Georges Bank,4,146,N Silver Hake,NEFMC,1,1,1
Silver hake - Southern Georges Bank / Mid-Atlantic,4,150,S Silver Hake,NEFMC,4,1,4
White hake - Gulf of Maine / Georges Bank,6,154,White Hake,NEFMC,2,2,3
Windowpane - Gulf of Maine / Georges Bank,6,160,N Windowpane,NEFMC,4,3,3
Windowpane - Southern New England / Mid-Atlantic,6,166,S Windowpane,NEFMC,4,3,3
Winter flounder - Georges Bank,6,172,GB Winter,NEFMC,2,2,3
Winter flounder - Gulf of Maine,6,178,GOM Winter,NEFMC,1,1,1
Winter flounder - Southern New England / Mid-Atlantic,6,184,SNE Winter,NEFMC,3,1,1
Witch flounder - Northwestern Atlantic Coast,6,190,Witch,NEFMC,2,2,2
Yellowtail flounder - Cape Cod / Gulf of Maine,7,196,CCGOM YT,NEFMC,4,3,4
Yellowtail flounder - Georges Bank,10,203,GB YT,NEFMC,4,4,4
Yellowtail flounder - Southern New England / Mid-Atlantic,6,213,SNEMA YT,NEFMC,4,4,4
Barndoor skate - Georges Bank / Southern New England,8,219,Barndoor Skate,NEFMC,4,4,4
Clearnose skate - Southern New England / Mid-Atlantic,8,227,Clearnose Skate,NEFMC,4,4,4
Little skate - Georges Bank / Southern New England,8,235,Little Skate,NEFMC,4,4,4
Rosette skate - Southern New England / Mid-Atlantic,8,243,Rosette Skate,NEFMC,4,4,4
Smooth skate - Gulf of Maine,8,251,Smooth Skate,NEFMC,4,4,4
Thorny skate - Gulf of Maine,8,259,Thorny Skate,NEFMC,4,4,4
Winter skate - Georges Bank / Southern New England,8,267,Winter Skate,NEFMC,4,4,4
Atlantic wolffish,2,275,Wolffish,NEFMC,4,4,1
Goosefish - Gulf of Maine / Northern Georges Bank,7,277,N Goosefish,Both,4,4,1
Goosefish - Southern Georges Bank / Mid-Atlantic,7,284,S Goosefish,Both,4,4,3
Spiny dogfish - Atlantic Coast,8,291,Dogfish,Both,4,4,1
