"Year","Var","Value","units","EPU"
1984,"Northern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1984,"Georges Bank_WaveHeight",6,"Number of Events","GB"
1984,"Western Gulf of Maine_WaveHeight",1,"Number of Events","GOM"
1984,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1985,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
1985,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1985,"Georges Bank_WaveHeight",8,"Number of Events","GB"
1985,"Western Gulf of Maine_WaveHeight",4,"Number of Events","GOM"
1985,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1986,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1986,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
1986,"Georges Bank_WaveHeight",11,"Number of Events","GB"
1986,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
1986,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
1987,"Southern Mid-Atlantic Bight_WaveHeight",7,"Number of Events","MAB"
1987,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
1987,"Georges Bank_WaveHeight",8,"Number of Events","GB"
1987,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
1987,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1988,"Southern Mid-Atlantic Bight_WaveHeight",0,"Number of Events","MAB"
1988,"Northern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1988,"Georges Bank_WaveHeight",9,"Number of Events","GB"
1988,"Western Gulf of Maine_WaveHeight",2,"Number of Events","GOM"
1988,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
1989,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
1989,"Northern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1989,"Georges Bank_WaveHeight",6,"Number of Events","GB"
1989,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
1989,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1990,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
1990,"Northern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1990,"Georges Bank_WaveHeight",6,"Number of Events","GB"
1990,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
1990,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
1991,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1991,"Northern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1991,"Georges Bank_WaveHeight",7,"Number of Events","GB"
1991,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
1991,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1992,"Southern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
1992,"Northern Mid-Atlantic Bight_WaveHeight",7,"Number of Events","MAB"
1992,"Georges Bank_WaveHeight",10,"Number of Events","GB"
1992,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1992,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
1993,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1993,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
1993,"Georges Bank_WaveHeight",9,"Number of Events","GB"
1993,"Western Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
1993,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
1994,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1994,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1994,"Georges Bank_WaveHeight",12,"Number of Events","GB"
1994,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1994,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
1995,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1995,"Northern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1995,"Georges Bank_WaveHeight",9,"Number of Events","GB"
1995,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
1995,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
1996,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1996,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1996,"Georges Bank_WaveHeight",14,"Number of Events","GB"
1996,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1996,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
1997,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
1997,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1997,"Georges Bank_WaveHeight",12,"Number of Events","GB"
1997,"Western Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
1997,"Eastern Gulf of Maine_WaveHeight",13,"Number of Events","GOM"
1998,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1998,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
1998,"Georges Bank_WaveHeight",7,"Number of Events","GB"
1998,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
1998,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
1999,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1999,"Northern Mid-Atlantic Bight_WaveHeight",7,"Number of Events","MAB"
1999,"Georges Bank_WaveHeight",10,"Number of Events","GB"
1999,"Western Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
1999,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
2000,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
2000,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
2000,"Georges Bank_WaveHeight",10,"Number of Events","GB"
2000,"Western Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2000,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2001,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
2001,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
2001,"Georges Bank_WaveHeight",6,"Number of Events","GB"
2001,"Western Gulf of Maine_WaveHeight",4,"Number of Events","GOM"
2001,"Eastern Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
2002,"Southern Mid-Atlantic Bight_WaveHeight",0,"Number of Events","MAB"
2002,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
2002,"Georges Bank_WaveHeight",10,"Number of Events","GB"
2002,"Western Gulf of Maine_WaveHeight",4,"Number of Events","GOM"
2002,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
2003,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
2003,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
2003,"Georges Bank_WaveHeight",9,"Number of Events","GB"
2003,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
2003,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
2004,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
2004,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
2004,"Georges Bank_WaveHeight",14,"Number of Events","GB"
2004,"Western Gulf of Maine_WaveHeight",1,"Number of Events","GOM"
2004,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
2005,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2005,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
2005,"Georges Bank_WaveHeight",7,"Number of Events","GB"
2005,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
2005,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
2006,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2006,"Northern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
2006,"Georges Bank_WaveHeight",9,"Number of Events","GB"
2006,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
2006,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2007,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
2007,"Northern Mid-Atlantic Bight_WaveHeight",7,"Number of Events","MAB"
2007,"Georges Bank_WaveHeight",10,"Number of Events","GB"
2007,"Western Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
2007,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
2008,"Southern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
2008,"Northern Mid-Atlantic Bight_WaveHeight",11,"Number of Events","MAB"
2008,"Georges Bank_WaveHeight",13,"Number of Events","GB"
2008,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
2008,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
2009,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2009,"Northern Mid-Atlantic Bight_WaveHeight",11,"Number of Events","MAB"
2009,"Georges Bank_WaveHeight",13,"Number of Events","GB"
2009,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
2009,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
2010,"Southern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
2010,"Northern Mid-Atlantic Bight_WaveHeight",13,"Number of Events","MAB"
2010,"Georges Bank_WaveHeight",12,"Number of Events","GB"
2010,"Western Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
2010,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
2011,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
2011,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
2011,"Georges Bank_WaveHeight",12,"Number of Events","GB"
2011,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
2011,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
2012,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2012,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
2012,"Georges Bank_WaveHeight",8,"Number of Events","GB"
2012,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
2012,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2013,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
2013,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
2013,"Georges Bank_WaveHeight",9,"Number of Events","GB"
2013,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
2013,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2014,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2014,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
2014,"Georges Bank_WaveHeight",9,"Number of Events","GB"
2014,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
2014,"Eastern Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
2015,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2015,"Northern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2015,"Georges Bank_WaveHeight",5,"Number of Events","GB"
2015,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
2015,"Eastern Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
2016,"Southern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
2016,"Northern Mid-Atlantic Bight_WaveHeight",12,"Number of Events","MAB"
2016,"Georges Bank_WaveHeight",10,"Number of Events","GB"
2016,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
2016,"Eastern Gulf of Maine_WaveHeight",12,"Number of Events","GOM"
2017,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
2017,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
2017,"Georges Bank_WaveHeight",11,"Number of Events","GB"
2017,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
2017,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2018,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
2018,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
2018,"Georges Bank_WaveHeight",12,"Number of Events","GB"
2018,"Western Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
2018,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
2019,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
2019,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
2019,"Georges Bank_WaveHeight",13,"Number of Events","GB"
2019,"Western Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
2019,"Eastern Gulf of Maine_WaveHeight",13,"Number of Events","GOM"
2020,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
2020,"Northern Mid-Atlantic Bight_WaveHeight",10,"Number of Events","MAB"
2020,"Georges Bank_WaveHeight",11,"Number of Events","GB"
2020,"Western Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
2020,"Eastern Gulf of Maine_WaveHeight",12,"Number of Events","GOM"
