"","Year","Variable","Val","Loc","N"
"1",1947,"Hudson_meanflow",16131.3150684932,"NYB","365"
"2",1948,"Hudson_meanflow",12918.9890710383,"NYB","365"
"3",1949,"Hudson_meanflow",12382.301369863,"NYB","365"
"4",1950,"Hudson_meanflow",14036.2739726027,"NYB","365"
"5",1951,"Hudson_meanflow",16925.698630137,"NYB","365"
"6",1952,"Hudson_meanflow",15251.5846994535,"NYB","365"
"7",1953,"Hudson_meanflow",13951.9726027397,"NYB","365"
"8",1954,"Hudson_meanflow",14400,"NYB","365"
"9",1955,"Hudson_meanflow",14623.9726027397,"NYB","365"
"10",1956,"Hudson_meanflow",13880.4371584699,"NYB","365"
"11",1957,"Hudson_meanflow",9644.82191780823,"NYB","365"
"12",1958,"Hudson_meanflow",12842.2465753425,"NYB","365"
"13",1959,"Hudson_meanflow",14168.4109589041,"NYB","365"
"14",1960,"Hudson_meanflow",14013.1967213115,"NYB","365"
"15",1961,"Hudson_meanflow",10742.2739726027,"NYB","365"
"16",1962,"Hudson_meanflow",10563.6712328767,"NYB","365"
"17",1963,"Hudson_meanflow",9399.09589041097,"NYB","365"
"18",1964,"Hudson_meanflow",8714.64480874318,"NYB","365"
"19",1965,"Hudson_meanflow",7750.30136986301,"NYB","365"
"20",1966,"Hudson_meanflow",10055.1232876712,"NYB","365"
"21",1967,"Hudson_meanflow",11152.7945205479,"NYB","365"
"22",1968,"Hudson_meanflow",12474.7868852459,"NYB","365"
"23",1969,"Hudson_meanflow",13306.8493150685,"NYB","365"
"24",1970,"Hudson_meanflow",11926.5753424657,"NYB","365"
"25",1971,"Hudson_meanflow",14829.5342465754,"NYB","365"
"26",1972,"Hudson_meanflow",21017.4863387978,"NYB","365"
"27",1973,"Hudson_meanflow",17411.1232876712,"NYB","365"
"28",1974,"Hudson_meanflow",16433.5068493151,"NYB","365"
"29",1975,"Hudson_meanflow",18211.2054794521,"NYB","365"
"30",1976,"Hudson_meanflow",21310.7650273224,"NYB","365"
"31",1977,"Hudson_meanflow",19156.4383561644,"NYB","365"
"32",1978,"Hudson_meanflow",14052.3835616438,"NYB","365"
"33",1979,"Hudson_meanflow",16919.4520547945,"NYB","365"
"34",1980,"Hudson_meanflow",9713.68852459018,"NYB","365"
"35",1981,"Hudson_meanflow",11365.397260274,"NYB","365"
"36",1982,"Hudson_meanflow",12177.5890410959,"NYB","365"
"37",1983,"Hudson_meanflow",15780.8767123288,"NYB","365"
"38",1984,"Hudson_meanflow",15464.4535519126,"NYB","365"
"39",1985,"Hudson_meanflow",10420.6849315068,"NYB","365"
"40",1986,"Hudson_meanflow",15500.4383561644,"NYB","365"
"41",1987,"Hudson_meanflow",12978.904109589,"NYB","365"
"42",1988,"Hudson_meanflow",10478.0601092896,"NYB","365"
"43",1989,"Hudson_meanflow",13955.3698630137,"NYB","365"
"44",1990,"Hudson_meanflow",19413.2054794521,"NYB","365"
"45",1991,"Hudson_meanflow",12089.3424657534,"NYB","365"
"46",1992,"Hudson_meanflow",12876.2841530055,"NYB","365"
"47",1993,"Hudson_meanflow",14581.3698630137,"NYB","365"
"48",1994,"Hudson_meanflow",14338.904109589,"NYB","365"
"49",1995,"Hudson_meanflow",10272.8767123288,"NYB","365"
"50",1996,"Hudson_meanflow",19825.7923497268,"NYB","365"
"51",2001,"Hudson_meanflow",12184.5753424658,"NYB","365"
"52",2002,"Hudson_meanflow",13329.8082191781,"NYB","365"
"53",2003,"Hudson_meanflow",18269.8904109589,"NYB","365"
"54",2004,"Hudson_meanflow",15794.8360655738,"NYB","365"
"55",2005,"Hudson_meanflow",16988.7671232877,"NYB","365"
"56",2006,"Hudson_meanflow",20417.5616438356,"NYB","365"
"57",2007,"Hudson_meanflow",16052.6575342466,"NYB","365"
"58",2008,"Hudson_meanflow",19176.7486338798,"NYB","365"
"59",2009,"Hudson_meanflow",16580.7397260274,"NYB","365"
"60",2010,"Hudson_meanflow",15874.5205479452,"NYB","365"
"61",2011,"Hudson_meanflow",22574.9863013699,"NYB","365"
"62",2012,"Hudson_meanflow",11896.912568306,"NYB","365"
"63",2013,"Hudson_meanflow",16228.301369863,"NYB","365"
"64",2014,"Hudson_meanflow",15935.7260273973,"NYB","365"
"65",2015,"Hudson_meanflow",12217.7260273973,"NYB","365"
"66",2016,"Hudson_meanflow",11241.3387978142,"NYB","365"
"67",2017,"Hudson_meanflow",18125.8356164384,"NYB","365"
"68",2018,"Hudson_meanflow",17367.5616438356,"NYB","365"
"69",2019,"Hudson_meanflow",21826,"NYB","365"
"70",2020,"Hudson_meanflow",13740.4644808743,"NYB","365"
"71",2021,"Hudson_meanflow",17054.9315068493,"NYB","365"
"72",2022,"Hudson_meanflow",13926.2739726027,"NYB","365"
"73",2023,"Hudson_meanflow",19733.2328767123,"NYB","365"
"74",1947,"Hudson_MAX",74300,"NYB","365"
"75",1948,"Hudson_MAX",141000,"NYB","365"
"76",1949,"Hudson_MAX",142000,"NYB","365"
"77",1950,"Hudson_MAX",88500,"NYB","365"
"78",1951,"Hudson_MAX",88100,"NYB","365"
"79",1952,"Hudson_MAX",92700,"NYB","365"
"80",1953,"Hudson_MAX",94300,"NYB","365"
"81",1954,"Hudson_MAX",69900,"NYB","365"
"82",1955,"Hudson_MAX",101000,"NYB","365"
"83",1956,"Hudson_MAX",95300,"NYB","365"
"84",1957,"Hudson_MAX",57000,"NYB","365"
"85",1958,"Hudson_MAX",65600,"NYB","365"
"86",1959,"Hudson_MAX",94600,"NYB","365"
"87",1960,"Hudson_MAX",132000,"NYB","365"
"88",1961,"Hudson_MAX",75900,"NYB","365"
"89",1962,"Hudson_MAX",79800,"NYB","365"
"90",1963,"Hudson_MAX",79700,"NYB","365"
"91",1964,"Hudson_MAX",96000,"NYB","365"
"92",1965,"Hudson_MAX",35200,"NYB","365"
"93",1966,"Hudson_MAX",45400,"NYB","365"
"94",1967,"Hudson_MAX",54100,"NYB","365"
"95",1968,"Hudson_MAX",80800,"NYB","365"
"96",1969,"Hudson_MAX",77900,"NYB","365"
"97",1970,"Hudson_MAX",83200,"NYB","365"
"98",1971,"Hudson_MAX",59700,"NYB","365"
"99",1972,"Hudson_MAX",94500,"NYB","365"
"100",1973,"Hudson_MAX",86400,"NYB","365"
"101",1974,"Hudson_MAX",55700,"NYB","365"
"102",1975,"Hudson_MAX",71600,"NYB","365"
"103",1976,"Hudson_MAX",99900,"NYB","365"
"104",1977,"Hudson_MAX",152000,"NYB","365"
"105",1978,"Hudson_MAX",66500,"NYB","365"
"106",1979,"Hudson_MAX",112000,"NYB","365"
"107",1980,"Hudson_MAX",97900,"NYB","365"
"108",1981,"Hudson_MAX",84800,"NYB","365"
"109",1982,"Hudson_MAX",72400,"NYB","365"
"110",1983,"Hudson_MAX",99900,"NYB","365"
"111",1984,"Hudson_MAX",104000,"NYB","365"
"112",1985,"Hudson_MAX",66000,"NYB","365"
"113",1986,"Hudson_MAX",104000,"NYB","365"
"114",1987,"Hudson_MAX",93400,"NYB","365"
"115",1988,"Hudson_MAX",56900,"NYB","365"
"116",1989,"Hudson_MAX",60600,"NYB","365"
"117",1990,"Hudson_MAX",82500,"NYB","365"
"118",1991,"Hudson_MAX",54100,"NYB","365"
"119",1992,"Hudson_MAX",54600,"NYB","365"
"120",1993,"Hudson_MAX",108000,"NYB","365"
"121",1994,"Hudson_MAX",94800,"NYB","365"
"122",1995,"Hudson_MAX",58900,"NYB","365"
"123",1996,"Hudson_MAX",137000,"NYB","365"
"124",2001,"Hudson_MAX",95900,"NYB","365"
"125",2002,"Hudson_MAX",58200,"NYB","365"
"126",2003,"Hudson_MAX",86900,"NYB","365"
"127",2004,"Hudson_MAX",62700,"NYB","365"
"128",2005,"Hudson_MAX",108000,"NYB","365"
"129",2006,"Hudson_MAX",117000,"NYB","365"
"130",2007,"Hudson_MAX",104000,"NYB","365"
"131",2008,"Hudson_MAX",97000,"NYB","365"
"132",2009,"Hudson_MAX",65300,"NYB","365"
"133",2010,"Hudson_MAX",85800,"NYB","365"
"134",2011,"Hudson_MAX",158000,"NYB","365"
"135",2012,"Hudson_MAX",51300,"NYB","365"
"136",2013,"Hudson_MAX",95200,"NYB","365"
"137",2014,"Hudson_MAX",81400,"NYB","365"
"138",2015,"Hudson_MAX",45000,"NYB","365"
"139",2016,"Hudson_MAX",61500,"NYB","365"
"140",2017,"Hudson_MAX",83600,"NYB","365"
"141",2018,"Hudson_MAX",56700,"NYB","365"
"142",2019,"Hudson_MAX",98800,"NYB","365"
"143",2020,"Hudson_MAX",85700,"NYB","365"
"144",2021,"Hudson_MAX",74800,"NYB","365"
"145",2022,"Hudson_MAX",93500,"NYB","365"
"146",2023,"Hudson_MAX",105000,"NYB","365"
"147",1947,"Hudson_SpringCenter",98,"NYB","365"
"148",1948,"Hudson_SpringCenter",89,"NYB","365"
"149",1949,"Hudson_SpringCenter",55,"NYB","365"
"150",1950,"Hudson_SpringCenter",87,"NYB","365"
"151",1951,"Hudson_SpringCenter",86,"NYB","365"
"152",1952,"Hudson_SpringCenter",91,"NYB","365"
"153",1953,"Hudson_SpringCenter",90,"NYB","365"
"154",1954,"Hudson_SpringCenter",99,"NYB","365"
"155",1955,"Hudson_SpringCenter",88,"NYB","365"
"156",1956,"Hudson_SpringCenter",101,"NYB","365"
"157",1957,"Hudson_SpringCenter",77,"NYB","365"
"158",1958,"Hudson_SpringCenter",96,"NYB","365"
"159",1959,"Hudson_SpringCenter",92,"NYB","365"
"160",1960,"Hudson_SpringCenter",95,"NYB","365"
"161",1961,"Hudson_SpringCenter",94,"NYB","365"
"162",1962,"Hudson_SpringCenter",94,"NYB","365"
"163",1963,"Hudson_SpringCenter",94,"NYB","365"
"164",1964,"Hudson_SpringCenter",86,"NYB","365"
"165",1965,"Hudson_SpringCenter",99,"NYB","365"
"166",1966,"Hudson_SpringCenter",85,"NYB","365"
"167",1967,"Hudson_SpringCenter",97,"NYB","365"
"168",1968,"Hudson_SpringCenter",88,"NYB","365"
"169",1969,"Hudson_SpringCenter",100,"NYB","365"
"170",1970,"Hudson_SpringCenter",96,"NYB","365"
"171",1971,"Hudson_SpringCenter",104,"NYB","365"
"172",1972,"Hudson_SpringCenter",106,"NYB","365"
"173",1973,"Hudson_SpringCenter",80,"NYB","365"
"174",1974,"Hudson_SpringCenter",82,"NYB","365"
"175",1975,"Hudson_SpringCenter",82,"NYB","365"
"176",1976,"Hudson_SpringCenter",88,"NYB","365"
"177",1977,"Hudson_SpringCenter",90,"NYB","365"
"178",1978,"Hudson_SpringCenter",87,"NYB","365"
"179",1979,"Hudson_SpringCenter",85,"NYB","365"
"180",1980,"Hudson_SpringCenter",91,"NYB","365"
"181",1981,"Hudson_SpringCenter",62,"NYB","365"
"182",1982,"Hudson_SpringCenter",92,"NYB","365"
"183",1983,"Hudson_SpringCenter",110,"NYB","365"
"184",1984,"Hudson_SpringCenter",97,"NYB","365"
"185",1985,"Hudson_SpringCenter",73,"NYB","365"
"186",1986,"Hudson_SpringCenter",82,"NYB","365"
"187",1987,"Hudson_SpringCenter",91,"NYB","365"
"188",1988,"Hudson_SpringCenter",87,"NYB","365"
"189",1989,"Hudson_SpringCenter",99,"NYB","365"
"190",1990,"Hudson_SpringCenter",87,"NYB","365"
"191",1991,"Hudson_SpringCenter",74,"NYB","365"
"192",1992,"Hudson_SpringCenter",100,"NYB","365"
"193",1993,"Hudson_SpringCenter",99,"NYB","365"
"194",1994,"Hudson_SpringCenter",101,"NYB","365"
"195",1995,"Hudson_SpringCenter",68,"NYB","365"
"196",1996,"Hudson_SpringCenter",104,"NYB","365"
"197",2001,"Hudson_SpringCenter",100,"NYB","365"
"198",2002,"Hudson_SpringCenter",95,"NYB","365"
"199",2003,"Hudson_SpringCenter",90,"NYB","365"
"200",2004,"Hudson_SpringCenter",88,"NYB","365"
"201",2005,"Hudson_SpringCenter",90,"NYB","365"
"202",2006,"Hudson_SpringCenter",69,"NYB","365"
"203",2007,"Hudson_SpringCenter",88,"NYB","365"
"204",2008,"Hudson_SpringCenter",77,"NYB","365"
"205",2009,"Hudson_SpringCenter",80,"NYB","365"
"206",2010,"Hudson_SpringCenter",81,"NYB","365"
"207",2011,"Hudson_SpringCenter",101,"NYB","365"
"208",2012,"Hudson_SpringCenter",73,"NYB","365"
"209",2013,"Hudson_SpringCenter",89,"NYB","365"
"210",2014,"Hudson_SpringCenter",95,"NYB","365"
"211",2015,"Hudson_SpringCenter",95,"NYB","365"
"212",2016,"Hudson_SpringCenter",68,"NYB","365"
"213",2017,"Hudson_SpringCenter",91,"NYB","365"
"214",2018,"Hudson_SpringCenter",78,"NYB","365"
"215",2019,"Hudson_SpringCenter",94,"NYB","365"
"216",2020,"Hudson_SpringCenter",75,"NYB","365"
"217",2021,"Hudson_SpringCenter",86,"NYB","365"
"218",2022,"Hudson_SpringCenter",84,"NYB","365"
"219",2023,"Hudson_SpringCenter",81,"NYB","365"
"220",1947,"Hudson_FallCenter",325,"NYB","365"
"221",1948,"Hudson_FallCenter",330,"NYB","365"
"222",1949,"Hudson_FallCenter",335,"NYB","365"
"223",1950,"Hudson_FallCenter",338,"NYB","365"
"224",1951,"Hudson_FallCenter",326,"NYB","365"
"225",1952,"Hudson_FallCenter",346,"NYB","365"
"226",1953,"Hudson_FallCenter",341,"NYB","365"
"227",1954,"Hudson_FallCenter",333,"NYB","365"
"228",1955,"Hudson_FallCenter",311,"NYB","365"
"229",1956,"Hudson_FallCenter",334,"NYB","365"
"230",1957,"Hudson_FallCenter",345,"NYB","365"
"231",1958,"Hudson_FallCenter",321,"NYB","365"
"232",1959,"Hudson_FallCenter",333,"NYB","365"
"233",1960,"Hudson_FallCenter",319,"NYB","365"
"234",1961,"Hudson_FallCenter",329,"NYB","365"
"235",1962,"Hudson_FallCenter",326,"NYB","365"
"236",1963,"Hudson_FallCenter",331,"NYB","365"
"237",1964,"Hudson_FallCenter",334,"NYB","365"
"238",1965,"Hudson_FallCenter",327,"NYB","365"
"239",1966,"Hudson_FallCenter",326,"NYB","365"
"240",1967,"Hudson_FallCenter",332,"NYB","365"
"241",1968,"Hudson_FallCenter",333,"NYB","365"
"242",1969,"Hudson_FallCenter",326,"NYB","365"
"243",1970,"Hudson_FallCenter",327,"NYB","365"
"244",1971,"Hudson_FallCenter",338,"NYB","365"
"245",1972,"Hudson_FallCenter",332,"NYB","365"
"246",1973,"Hudson_FallCenter",346,"NYB","365"
"247",1974,"Hudson_FallCenter",330,"NYB","365"
"248",1975,"Hudson_FallCenter",319,"NYB","365"
"249",1976,"Hudson_FallCenter",310,"NYB","365"
"250",1977,"Hudson_FallCenter",317,"NYB","365"
"251",1978,"Hudson_FallCenter",324,"NYB","365"
"252",1979,"Hudson_FallCenter",328,"NYB","365"
"253",1980,"Hudson_FallCenter",330,"NYB","365"
"254",1981,"Hudson_FallCenter",312,"NYB","365"
"255",1982,"Hudson_FallCenter",329,"NYB","365"
"256",1983,"Hudson_FallCenter",342,"NYB","365"
"257",1984,"Hudson_FallCenter",332,"NYB","365"
"258",1985,"Hudson_FallCenter",325,"NYB","365"
"259",1986,"Hudson_FallCenter",330,"NYB","365"
"260",1987,"Hudson_FallCenter",316,"NYB","365"
"261",1988,"Hudson_FallCenter",324,"NYB","365"
"262",1989,"Hudson_FallCenter",318,"NYB","365"
"263",1990,"Hudson_FallCenter",322,"NYB","365"
"264",1991,"Hudson_FallCenter",329,"NYB","365"
"265",1992,"Hudson_FallCenter",328,"NYB","365"
"266",1993,"Hudson_FallCenter",332,"NYB","365"
"267",1994,"Hudson_FallCenter",334,"NYB","365"
"268",1995,"Hudson_FallCenter",319,"NYB","365"
"269",1996,"Hudson_FallCenter",337,"NYB","365"
"270",2001,"Hudson_FallCenter",330,"NYB","365"
"271",2002,"Hudson_FallCenter",327,"NYB","365"
"272",2003,"Hudson_FallCenter",326,"NYB","365"
"273",2004,"Hudson_FallCenter",338,"NYB","365"
"274",2005,"Hudson_FallCenter",320,"NYB","365"
"275",2006,"Hudson_FallCenter",321,"NYB","365"
"276",2007,"Hudson_FallCenter",331,"NYB","365"
"277",2008,"Hudson_FallCenter",333,"NYB","365"
"278",2009,"Hudson_FallCenter",321,"NYB","365"
"279",2010,"Hudson_FallCenter",319,"NYB","365"
"280",2011,"Hudson_FallCenter",324,"NYB","365"
"281",2012,"Hudson_FallCenter",322,"NYB","365"
"282",2013,"Hudson_FallCenter",332,"NYB","365"
"283",2014,"Hudson_FallCenter",338,"NYB","365"
"284",2015,"Hudson_FallCenter",328,"NYB","365"
"285",2016,"Hudson_FallCenter",336,"NYB","365"
"286",2017,"Hudson_FallCenter",321,"NYB","365"
"287",2018,"Hudson_FallCenter",326,"NYB","365"
"288",2019,"Hudson_FallCenter",319,"NYB","365"
"289",2020,"Hudson_FallCenter",336,"NYB","365"
"290",2021,"Hudson_FallCenter",317,"NYB","365"
"291",2022,"Hudson_FallCenter",338,"NYB","365"
"292",2023,"Hudson_FallCenter",335,"NYB","365"
