"","Time","Region","Value","Var","Units","Source"
"1",1982,"NE",110466683,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2",1983,"NE",81379821,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"3",1984,"NE",70984373,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"4",1985,"NE",97215788,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"5",1986,"NE",115740467,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"6",1987,"NE",81605197,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"7",1988,"NE",67671107,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"8",1989,"NE",57638459,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"9",1990,"NE",48336050,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"10",1991,"NE",52526201,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"11",1992,"NE",44740310,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"12",1993,"NE",38824328,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"13",1994,"NE",42340260,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"14",1995,"NE",35261888,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"15",1996,"NE",30309197,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"16",1997,"NE",36898321,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"17",1998,"NE",33728413,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"18",1999,"NE",38266452,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"19",2000,"NE",48679059,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"20",2001,"NE",46402961,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"21",2002,"NE",48419022,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"22",2003,"NE",53269242,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"23",2004,"NE",50152872,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"24",2005,"NE",44727120,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"25",2006,"NE",46943314,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"26",2007,"NE",47321641,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"27",2008,"NE",53458218,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"28",2009,"NE",44558979,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"29",2010,"NE",70581414,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"30",2011,"NE",60753580,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"31",2012,"NE",60000543,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"32",2013,"NE",67692310,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"33",2014,"NE",52284929,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"34",2015,"NE",46933035,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"35",2016,"NE",41380006,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"36",2017,"NE",45633613,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"37",2018,"NE",33554895,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"38",2019,"NE",37904039,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"39",2020,"NE",27723503,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"40",2021,"NE",37452268,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"41",2022,"NE",39938918,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"42",2023,"NE",36993807,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"43",1982,"MA",182286632,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"44",1983,"MA",225424090,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"45",1984,"MA",199678507,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"46",1985,"MA",171319044,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"47",1986,"MA",215762254,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"48",1987,"MA",283449620,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"49",1988,"MA",148359218,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"50",1989,"MA",166836606,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"51",1990,"MA",109692359,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"52",1991,"MA",126449125,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"53",1992,"MA",100434398,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"54",1993,"MA",90496115,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"55",1994,"MA",96486451,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"56",1995,"MA",111429951,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"57",1996,"MA",106215135,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"58",1997,"MA",123385789,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"59",1998,"MA",112769333,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"60",1999,"MA",106925361,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"61",2000,"MA",133158168,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"62",2001,"MA",124329008,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"63",2002,"MA",119032590,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"64",2003,"MA",143201297,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"65",2004,"MA",122656720,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"66",2005,"MA",124453753,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"67",2006,"MA",116293520,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"68",2007,"MA",119584333,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"69",2008,"MA",116370981,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"70",2009,"MA",126264412,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"71",2010,"MA",128021663,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"72",2011,"MA",102755344,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"73",2012,"MA",113643644,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"74",2013,"MA",130483161,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"75",2014,"MA",125896384,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"76",2015,"MA",132533007,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"77",2016,"MA",118960916,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"78",2017,"MA",129113862,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"79",2018,"MA",68620234,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"80",2019,"MA",84063069,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"81",2020,"MA",96426340,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"82",2021,"MA",86375818,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"83",2022,"MA",97988421,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"84",2023,"MA",90864783,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
